ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,95.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,44.0%,82.3%
3,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,75.5%,90.0%
4,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,40.5%,88.1%
5,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,63.8%,85.5%
6,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,50.8%,78.2%
7,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,49.5%,72.4%
8,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,47.7%,80.0%
9,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,54.0%,65.3%
10,https://leetcode.com/problems/word-search,Word Search,Medium,42.5%,70.0%
11,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,50.5%,82.0%
12,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,65.4%,75.5%
13,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,59.1%,88.3%
14,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,75.5%,90.0%
15,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,46.6%,68.2%
16,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,42.8%,55.0%
17,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,66.3%,72.1%
18,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,52.2%,60.5%
19,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,56.7%,58.0%
20,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.0%,75.0%
